epoch,train_loss,val_loss,val_dice,val_iou,lr,time_epoch
0,1.690327,1.613242,0.005492,0.002816,0.00010000,157.00
1,1.571066,1.527893,0.004798,0.002533,0.00010000,154.65
2,1.511081,1.492054,0.013186,0.006929,0.00010000,153.41
3,1.456314,1.431539,0.002044,0.001039,0.00010000,160.86
4,1.404446,1.380257,0.021777,0.011308,0.00010000,157.44
5,1.355581,1.303957,0.007483,0.003911,0.00010000,154.34
6,1.310987,1.288852,0.034113,0.018179,0.00010000,155.19
7,1.269273,1.250536,0.061597,0.037735,0.00010000,154.83
8,1.231705,1.211765,0.003349,0.001691,0.00010000,155.46
9,1.197583,1.177405,0.001921,0.000960,0.00010000,157.39
10,1.165576,1.153637,0.147150,0.098223,0.00010000,154.35
11,1.130882,1.107488,0.207948,0.142718,0.00010000,153.96
12,1.095145,1.085995,0.211452,0.137061,0.00010000,154.37
13,1.067426,1.056376,0.264200,0.186238,0.00010000,153.33
14,1.041439,1.039219,0.229558,0.161040,0.00010000,152.36
15,1.017054,1.005139,0.291857,0.203577,0.00010000,153.15
16,0.991825,0.992800,0.286514,0.202829,0.00010000,153.19
17,0.966111,0.971516,0.289964,0.208943,0.00010000,153.07
18,0.937502,0.937259,0.316735,0.227058,0.00010000,153.29
19,0.904688,0.899713,0.301586,0.214904,0.00010000,153.39
20,0.869814,0.872855,0.306908,0.214614,0.00010000,153.34
21,0.832047,0.869894,0.293480,0.207985,0.00010000,152.99
22,0.791113,0.839105,0.335315,0.252045,0.00010000,152.82
23,0.750050,0.804169,0.347950,0.262564,0.00010000,153.20
24,0.713379,0.707434,0.414339,0.323179,0.00010000,153.51
25,0.674355,0.693619,0.401274,0.304302,0.00010000,153.69
26,0.646366,0.662323,0.406026,0.308501,0.00010000,153.37
27,0.618063,0.666754,0.394456,0.297499,0.00010000,153.70
28,0.595633,0.609924,0.441699,0.345036,0.00010000,152.95
29,0.574643,0.609132,0.433136,0.332980,0.00010000,153.09
30,0.562491,0.556519,0.466299,0.370288,0.00010000,153.07
31,0.547402,0.577179,0.442789,0.350897,0.00010000,153.20
32,0.531133,0.584885,0.437856,0.342457,0.00010000,153.42
33,0.524586,0.543630,0.462062,0.365479,0.00010000,153.11
34,0.521788,0.584598,0.426685,0.333240,0.00010000,153.10
35,0.510618,0.525567,0.476777,0.379954,0.00010000,153.50
36,0.502656,0.516718,0.478780,0.389698,0.00010000,153.33
37,0.490830,0.516111,0.483010,0.390416,0.00010000,152.92
38,0.487206,0.496643,0.490992,0.405180,0.00010000,153.52
39,0.478185,0.492737,0.500030,0.408170,0.00010000,153.33
40,0.474679,0.496468,0.503364,0.405052,0.00010000,153.27
41,0.474234,0.508564,0.487978,0.392732,0.00010000,153.47
42,0.465246,0.543406,0.458559,0.362552,0.00010000,153.40
43,0.454392,0.514021,0.482392,0.390516,0.00010000,154.05
44,0.461154,0.518545,0.475303,0.383042,0.00010000,153.50
45,0.456395,0.466548,0.514884,0.430549,0.00010000,153.82
46,0.451635,0.464806,0.516965,0.429875,0.00010000,153.49
47,0.446279,0.460906,0.521800,0.435281,0.00010000,153.69
48,0.442759,0.449743,0.526986,0.445543,0.00010000,153.57
49,0.441901,0.453391,0.526045,0.441531,0.00010000,153.66
50,0.437887,0.475853,0.507931,0.419403,0.00010000,153.62
51,0.428901,0.461487,0.520155,0.433667,0.00010000,153.79
52,0.431400,0.446307,0.534837,0.449102,0.00010000,153.67
53,0.429685,0.458433,0.529534,0.440396,0.00010000,153.47
54,0.426889,0.456483,0.523149,0.441357,0.00010000,153.52
55,0.427914,0.444636,0.537498,0.450233,0.00010000,153.40
56,0.425065,0.445067,0.531580,0.454417,0.00010000,154.10
57,0.424485,0.457729,0.523195,0.440478,0.00010000,153.80
58,0.418024,0.438389,0.544152,0.457469,0.00010000,153.67
59,0.411575,0.440698,0.542387,0.455718,0.00010000,153.88
60,0.411913,0.426433,0.552751,0.471419,0.00010000,153.87
61,0.409460,0.448569,0.534391,0.449579,0.00010000,153.45
62,0.405853,0.424929,0.553216,0.470680,0.00010000,153.82
63,0.413560,0.434948,0.544755,0.462575,0.00010000,153.44
64,0.404002,0.432887,0.545046,0.466842,0.00010000,153.63
65,0.401767,0.438160,0.536807,0.461307,0.00010000,153.83
66,0.399692,0.443357,0.545266,0.457587,0.00010000,153.89
67,0.396650,0.417837,0.557427,0.479301,0.00010000,154.07
68,0.393348,0.417308,0.563457,0.480392,0.00010000,153.82
69,0.393314,0.422458,0.556266,0.474245,0.00010000,153.57
70,0.395380,0.411935,0.563990,0.487866,0.00010000,153.70
71,0.392401,0.410855,0.567620,0.487196,0.00010000,153.82
72,0.389264,0.411511,0.566750,0.484736,0.00010000,153.82
73,0.388684,0.401245,0.572901,0.497378,0.00010000,153.95
74,0.383780,0.415052,0.562547,0.483957,0.00010000,153.67
75,0.386883,0.428393,0.551084,0.471071,0.00010000,153.87
76,0.381464,0.408227,0.565336,0.492062,0.00010000,153.47
77,0.380134,0.413181,0.564163,0.487694,0.00010000,153.69
78,0.375545,0.414023,0.562629,0.487409,0.00010000,153.89
79,0.381238,0.460892,0.523926,0.445511,0.00010000,153.95
80,0.380670,0.412574,0.562447,0.488979,0.00010000,154.14
81,0.375960,0.407331,0.567922,0.490994,0.00010000,153.79
82,0.374418,0.401318,0.574417,0.498634,0.00002000,154.04
83,0.361426,0.389722,0.586499,0.510629,0.00002000,153.97
84,0.357622,0.390713,0.585141,0.510638,0.00002000,153.73
85,0.351672,0.392994,0.582401,0.508841,0.00002000,153.59
86,0.351961,0.393436,0.583624,0.508431,0.00002000,153.92
87,0.347653,0.382266,0.590946,0.519101,0.00002000,154.07
88,0.350018,0.382310,0.591096,0.520435,0.00002000,153.84
89,0.350482,0.376484,0.597298,0.524637,0.00002000,153.96
90,0.352790,0.395243,0.583860,0.505833,0.00002000,154.06
91,0.348304,0.383031,0.592806,0.518582,0.00002000,153.85
92,0.346916,0.386513,0.588573,0.515686,0.00002000,154.04
93,0.346464,0.375637,0.597131,0.526893,0.00002000,153.64
94,0.343199,0.380091,0.593924,0.523047,0.00002000,153.98
95,0.346150,0.379358,0.595441,0.522422,0.00002000,154.17
96,0.342486,0.375300,0.598164,0.525912,0.00002000,154.05
97,0.345042,0.375160,0.599328,0.526376,0.00002000,153.85
98,0.343187,0.377611,0.598207,0.524678,0.00002000,154.19
99,0.342809,0.388016,0.588630,0.515674,0.00002000,154.34
