epoch,train_loss,val_loss,val_auc,val_accuracy,lr,time_epoch_sec
0,0.695586,0.694948,0.586735,0.500000,0.00010000,90.37
1,0.692546,0.680755,0.605867,0.571429,0.00010000,90.13
2,0.676122,0.689250,0.633929,0.517857,0.00010000,86.26
3,0.696942,0.678016,0.663265,0.625000,0.00010000,88.69
4,0.688751,0.678134,0.672194,0.589286,0.00010000,86.65
5,0.682965,0.669178,0.670918,0.678571,0.00010000,84.65
6,0.677140,0.678848,0.674745,0.553571,0.00010000,85.30
7,0.688228,0.665866,0.679847,0.660714,0.00010000,85.28
8,0.677874,0.673765,0.715561,0.553571,0.00010000,84.72
9,0.675118,0.658566,0.674745,0.660714,0.00010000,86.18
10,0.661952,0.709624,0.682398,0.517857,0.00010000,88.41
11,0.670501,0.672028,0.684949,0.589286,0.00010000,85.05
12,0.665093,0.661078,0.681122,0.625000,0.00010000,86.51
13,0.675374,0.642662,0.720663,0.678571,0.00010000,86.83
14,0.636538,0.634304,0.718112,0.714286,0.00010000,89.43
15,0.652028,0.685765,0.710459,0.553571,0.00010000,88.83
16,0.651953,0.626037,0.760204,0.714286,0.00010000,86.75
17,0.656497,0.641910,0.765306,0.607143,0.00010000,85.06
18,0.640123,0.674591,0.748724,0.553571,0.00010000,90.15
19,0.638497,0.621025,0.772959,0.696429,0.00010000,92.84
20,0.623093,0.703288,0.779337,0.535714,0.00010000,89.99
21,0.654984,0.606034,0.761480,0.696429,0.00010000,91.00
22,0.620896,0.698615,0.785714,0.553571,0.00010000,86.20
23,0.662180,0.576834,0.827806,0.785714,0.00010000,88.88
24,0.627518,0.666552,0.803571,0.625000,0.00010000,88.89
25,0.666128,0.562697,0.845663,0.767857,0.00010000,89.49
26,0.659484,0.590420,0.844388,0.732143,0.00010000,86.56
27,0.638943,0.641389,0.838010,0.607143,0.00010000,84.78
28,0.638766,0.893667,0.816327,0.517857,0.00010000,85.33
29,0.614830,0.581513,0.834184,0.732143,0.00010000,87.49
30,0.628171,0.612642,0.809949,0.732143,0.00010000,88.13
31,0.648998,0.795391,0.813776,0.517857,0.00002000,93.50
32,0.647802,0.550123,0.823980,0.803571,0.00002000,96.37
33,0.612483,0.554394,0.845663,0.750000,0.00002000,88.88
34,0.623635,0.581995,0.843112,0.732143,0.00002000,89.42
35,0.585641,0.633675,0.853316,0.660714,0.00002000,84.50
36,0.622842,0.547751,0.849490,0.767857,0.00002000,85.28
37,0.604172,0.656058,0.849490,0.625000,0.00002000,85.47
38,0.608784,0.573830,0.846939,0.714286,0.00002000,88.40
39,0.641297,0.547163,0.848214,0.750000,0.00002000,88.10
40,0.620056,0.608422,0.846939,0.678571,0.00002000,89.64
41,0.613727,0.602188,0.848214,0.696429,0.00000400,88.14
42,0.630482,0.590478,0.848214,0.696429,0.00000400,88.14
43,0.599715,0.601004,0.848214,0.696429,0.00000400,89.08
44,0.612948,0.561399,0.848214,0.750000,0.00000400,85.00
